"Ranking","Artist_Name","Spotify_Artist_ID","Spotify_Popularity","Genre","Billboard_Popularity","track_id","track_name","track_release","decade","Danceability","Energy","Valence","Endurance_Index"
77,"Beastie Boys","03r4iKL2g2442PT9n2UKsx",67,"hip hop",1,"0Puj4YlTm6xNzDDADXHMI9","Sabotage","1994-05-23",1990,0.324,0.938,0.543,34
76,"The Shirelles","0x83OBqixqdCHnStP5VMcn",50,"soul",0,"25IiJu0DjOqsnQXgNHWp5i","Will You Love Me Tomorrow","2005",2000,0.527,0.308,0.514,25
75,"Eagles","0ECwFtbIWEVNwjlrfc6xoL",77,"rock",45,"3QIoEi8Enr9uHffwInGIsC","Please Come Home for Christmas - 2013 Remaster","1978-11-27",1970,0.612,0.289,0.466,61
74,"Hank Williams","2dyeCWctcFRt3Pha76ONgb",64,"country",0,"73ZTWCuwudUVvvWipRnQnQ","Family Tradition","1979",1970,0.66,0.523,0.794,32
73,"Radiohead","4Z8W4fKeB5YxbusRsdQVPb",80,"rock",4,"70LcF31zb1H0PyJoS1Sx1r","Creep","1993-02-22",1990,0.515,0.43,0.104,42
72,"AC/DC","711MCceyCBcFnzjGY4Q7Un",79,"rock",38,"2zYzyRzz6pRmhPzyfMEC8s","Highway to Hell","1979-07-27",1970,0.574,0.913,0.423,58.5
71,"Frank Zappa","6ra4GIOgCZQZMOaUECftGN",55,"blues",0,"4PPwkLq2ld1k09Bl5NkyZB","Uncle Remus","1974-03-22",1970,0.484,0.66,0.742,27.5
70,"The Police","5NGO30tJxFlKixkPSgXcFE",75,"rock",0,"1JSTJqkT5qHq8MDJnJbRE1","Every Breath You Take","1983-06-17",1980,0.82,0.452,0.74,37.5
69,"Jackie Wilson","4VnomLtKTm9Ahe1tZfmZju",56,"soul",0,"5qyq1H5OPMlfuvZQ1wQNo7","(Your Love Keeps Lifting Me) Higher & Higher","1967",1960,0.634,0.677,0.939,28
68,"The Temptations","3RwQ26hR2tJtA8F9p2n7jG",67,"soul",0,"745H5CctFr12Mo7cqa1BMH","My Girl","1965-03-22",1960,0.572,0.418,0.694,33.5
67,"Cream","74oJ4qxwOZvX6oSsu1DGnw",62,"blues",0,"2K2M0TcglCRLLpFOzKeFZA","Sunshine Of Your Love","1967-11",1960,0.683,0.594,0.734,31
66,"Al Green","3dkbV4qihUeMsqN4vBGg93",65,"soul",0,"63xdwScd1Ai1GigAwQxE8y","Let's Stay Together","1972",1970,0.756,0.401,0.514,32.5
65,"The Kinks","1SQRv42e4PjEYfPhS0Tk9E",65,"folk",0,"6tZdL3Zp8JgrfDbsSeSV1S","You Really Got Me","1964-02-02",1960,0.567,0.959,0.961,32.5
64,"Phil Spector","3jVMgT4X7YeuYE4aludcmE",34,"pop",0,"3jSoCdCbyZ2gMrQ9J3LA47","Silent Night","1963",1960,0.181,0.325,0.313,17
63,"Tina Turner","1zuJe6b1roixEKMOtyrEak",68,"rock",1,"3ErsOxqe2RmXkR65wkygDz","What's Love Got to Do with It - 2015 Remaster","1984-05-29",1980,0.855,0.48,0.798,34.5
62,"Joni Mitchell","5hW4L92KnC6dX9t7tYM4Ve",55,"folk",1,"0vItJLwvxJzu5PPw6o62A6","Our House - Demo","1970-03-11",1970,0.425,0.232,0.429,28
61,"Metallica","2ye2Wgw4gimLv2eAKyk1NB",80,"rock",85,"3VqHuw0wFlIHcIPWkhIbdQ","Enter Sandman (Remastered)","1991-08-12",1990,0.566,0.834,0.621,82.5
60,"The Sex Pistols","1u7kkVrr14iBvrpYnZILJR",53,"rock",0,"3LoDeIbiR12sAznmpNEmKA","Anarchy in the U.K.","1977-10-27",1970,0.323,0.978,0.168,26.5
59,"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH",74,"rock",1,"1xsYj84j7hUDDnTTerGWlH","Dream On","1973-01-05",1970,0.392,0.476,0.234,37.5
58,"Parliament","5SMVzTJyKFJ7TUb46DglcH",49,"soul",0,"4XRkQloZFcRrCONN7ZQ49Y","Give Up The Funk (Tear The Roof Off The Sucker)","1975-12-15",1970,0.717,0.665,0.774,24.5
57,"Grateful Dead","4TMHGUX5WI7OOm53PqSDAT",63,"rock",9,"5ZLzl6T8JwqMTMdoE0nCbU","Friend of the Devil","1970-06-01",1970,0.642,0.628,0.893,36
56,"Dr. Dre","6DPYiyq5kWVQS4RGwxzPC7",78,"hip hop",5,"503OTo2dSqe7qk76rgsbep","Still D.R.E.","1999-11-16",1990,0.816,0.775,0.527,41.5
55,"Eric Clapton","6PAt558ZEZl0DmdXlnjMgD",70,"blues",3,"6zC0mpGYwbNTpk9SKwh08f","Wonderful Tonight","1977-11-01",1970,0.572,0.214,0.485,36.5
54,"Howlin’ Wolf","0Wxy5Qka8BN9crcFkiAxSR",50,"blues",0,"2HUZVffVPXvqnrml0gXggp","Smokestack Lightnin'","1958-03-01",1950,0.661,0.342,0.588,25
53,"The Allman Brothers Band","4wQ3PyMz3WwJGI5uEqHUVR",61,"blues",0,"1hHGUdFaiJHw9hVZGJWYO2","Midnight Rider","1970-09-18",1970,0.585,0.532,0.68,30.5
52,"Queen","1dfeR4HaWDbWqFHLkxsg1d",84,"rock",59,"3AymrUApW5JKKaNrHQhcBG","Thank God It's Christmas - 2011 Remaster","1984-02-27",1980,0.304,0.42,0.328,71.5
51,"Pink Floyd","0k17h0D3J5VfsdmQ1iZtE9",78,"rock",25,"4gMgiXfqyzZLMhsksGmbQV","Another Brick in the Wall, Pt. 2","1979-11-30",1970,0.693,0.394,0.721,51.5
50,"The Band","4vpDg7Y7fU982Ds30zawDA",59,"blues",0,"0P7DoyGrr4Wp9w5TotEtUC","The Weight - Remastered 2000","1968-07-01",1960,0.63,0.551,0.518,29.5
49,"Elton John","3PhoLpVuITZKcymswpck5b",84,"rock",32,"3bH2Eu9A9ymI4UnGHRmoXg","Merry Christmas","2021-12-03",2020,0.594,0.935,0.602,58
